Entity|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasArticle|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasChapter|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasFeature|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasPart|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasSection|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasSpan|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#hasTag|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#inFeature|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#inLayer|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#inTag|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#isArticleOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#isChapterOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#isSectionOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#isSpanOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#partOf|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#taggedSpan|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#article_num|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#article_text|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#chapter_num|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#feature_name|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#layer_name|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#policy_code|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#section_num|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#span_id|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#span_text|c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#tag_name|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#span_text|||||||||||||||||||||||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#tag_name|||||||||||||||||||||||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Actor|||||||||"'Policydesigncharacteristics'"|||||||||||"'Actor'"|||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Addressee_default||||||||"'Actor'"||||||||||||||||||"'Addressee_default'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Addressee_monitored||||||||"'Actor'"||||||||||||||||||"'Addressee_monitored'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Addressee_resource||||||||"'Actor'"||||||||||||||||||"'Addressee_resource'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Addressee_sector||||||||"'Actor'"||||||||||||||||||"'Addressee_sector'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#App_LowCarbon||||||||"'ApplicationSpecificity'"||||||||||||||||||"'App_LowCarbon'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#App_Other||||||||"'ApplicationSpecificity'"||||||||||||||||||"'App_Other'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#ApplicationSpecificity|||||||||"'Technologyandapplicationspecificity'"|||||||||||"'ApplicationSpecificity'"|||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Authority_default||||||||"'Actor'"||||||||||||||||||"'Authority_default'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Authority_established||||||||"'Actor'"||||||||||||||||||"'Authority_established'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Authority_legislative||||||||"'Actor'"||||||||||||||||||"'Authority_legislative'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Authority_monitoring||||||||"'Actor'"||||||||||||||||||"'Authority_monitoring'"|
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#Compliance|||||||||"'Policydesigncharacteristics'"|||||||||||"'Compliance'"|||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008||||||||||||||||||||||"'EU_32004L0008'"|||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0||||||||||||"'EU_32004L0008'"|||||||"'0'"||||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0|||||||||||||"'EU_32004L0008_Chapter_0'"||||||||||"'0'"||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_01|||||||||||"'EU_32004L0008_Chapter_0_Section_0'"||||||"'01'"|"'article 1
purpose
the purpose of this directive is to increase energy efficiency and improve security of supply by creating a framework for promotion and development of high efficiency cogeneration of heat and power based on useful heat demand and primary energy savings in the internal energy market, taking into account the specific national circumstances especially concerning climatic and economic conditions.

'"|||||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13887_span||||||||||"'FrameworkPolicy'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_01'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13887'"|"'framework'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13888_span||||||||||"'Objective_QualIntention'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_01'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13888'"|"'increase energy efficiency'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13889_span||||||||||"'Objective_QualIntention_noCCM'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_01'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13889'"|"'improve security of supply'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13890_span||||||||||"'Objective_QualIntention'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_01'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13890'"|"'promotion and development of high efficiency cogeneration of heat and power based on useful heat demand and primary energy savings in the internal energy market'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13891_span||||||||||"'Ref_Strategy_Agreement'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_01'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13891'"|"'internal energy market'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13892_span||||||||||"'Tech_LowCarbon'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_01'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_01_CUR13892'"|"'high efficiency cogeneration of heat and power'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_02|||||||||||"'EU_32004L0008_Chapter_0_Section_0'"||||||"'02'"|"'article 2
scope
this directive shall apply to cogeneration as defined in article 3 and cogeneration technologies listed in annex i.

'"|||||||||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_02_CUR10555_span||||||||||"'Addressee_sector'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_02'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_02_CUR10555'"|"'cogeneration'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_02_CUR10556_span||||||||||"'Tech_LowCarbon'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_02'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_02_CUR10556'"|"'cogeneration'"||
c:/Users/allie/Documents/GitHub/POLIANNA/notebooks/auxil/ontology.owl#EU_32004L0008_Chapter_0_Section_0_Article_02_CUR10557_span||||||||||"'Tech_LowCarbon'"||||"'EU_32004L0008_Chapter_0_Section_0_Article_02'"||||||||||"'EU_32004L0008_Chapter_0_Section_0_Article_02_CUR10557'"|"'cogeneration technologies'"||
